Year;Month;1988 = 100;1996 = 100
2022;mei;208,92;170,22
2022;april;207,34;168,93
2022;maart;206,64;168,37
2022;februari;205,57;167,5
2022;januari;204,28;166,44
2021;december;199,83;162,81
2021;november;199,64;162,66
2021;oktober;197,17;160,65
2021;september;194,32;158,32
2021;augustus;194,8;158,72
2021;juli;193,8;157,9
2021;juni;192,16;156,57
2021;mei;191,73;156,21
2021;april;191,43;155,97
2021;maart;190,8;155,45
2021;februari;190,28;155,03
2021;januari;189,86;154,69
2020;december;189,03;154,02
2020;november;188,98;153,98
2020;oktober;189,29;154,23
2020;september;188,91;153,92
2020;augustus;189,62;154,5
2020;juli;189,5;154,4
2020;juni;189,09;154,06
2020;mei;188,97;153,96
2020;april;189,1;154,08
2020;maart;189,1;154,08
2020;februari;189,41;154,33
2020;januari;189,38;154,3
2019;december;188,26;153,39
2019;november;188,02;153,19
2019;oktober;187,89;153,09
2019;september;187,22;152,54
2019;augustus;188,08;153,25
2019;juli;188,12;153,27
2019;juni;187,96;153,15
2019;mei;188,07;153,23
2019;april;188,03;153,2
2019;maart;187,93;153,12
2019;februari;187,36;152,66
2019;januari;186,76;152,16
2018;december;186,84;152,23
2018;november;187,29;152,6
2018;oktober;187;152,36
2018;september;185,74;151,33
2018;augustus;185,74;151,33
2018;juli;185,48;151,12
2018;juni;184,77;150,55
2018;mei;184,58;150,39
2018;april;184,2;150,08
2018;maart;183,65;149,63
2018;februari;183,39;149,42
2018;januari;183,11;149,19
2017;december;182,58;148,76
2017;november;182,23;148,48
2017;oktober;181,99;148,28
2017;september;181,47;147,86
2017;augustus;181,66;148,01
2017;juli;181,54;147,91
2017;juni;181,01;147,48
2017;mei;181,28;147,7
2017;april;181,44;147,83
2017;maart;181,13;147,58
2017;februari;180,71;147,24
2017;januari;180,04;146,69
2016;december;178,76;145,65
2016;november;178,54;145,47
2016;oktober;178,42;145,37
2016;september;177,9;144,95
2016;augustus;178,28;145,26
2016;juli;178,36;145,33
2016;juni;178,16;145,16
2016;mei;177,97;145
2016;april;177,4;144,54
2016;maart;177,09;144,29
2016;februari;175,5;142,99
2016;januari;175,4;142,91
2015;december;175,21;142,75
2015;november;175,43;142,93
2015;oktober;175,24;142,78
2015;september;174,64;142,29
2015;augustus;174,51;142,19
2015;juli;174,39;142,09
2015;juni;174,39;142,09
2015;mei;174,13;141,88
2015;april;173,86;141,65
2015;maart;173,2;141,12
2015;februari;173,1;141,04
2015;januari;172,39;140,46
2014;december;172,62;140,64
2014;november;172,81;140,8
2014;oktober;173,03;140,98
2014;september;172,81;140,8
2014;augustus;172,94;140,91
2014;juli;173,6;141,44
2014;juni;173,31;141,2
2014;mei;173,17;141,09
2014;april;173,36;141,25
2014;maart;173,89;141,68
2014;februari;173,79;141,6
2014;januari;173,51;141,37
2013;december;173,27;141,18
2013;november;172,98;140,95
2013;oktober;172,87;140,86
2013;september;173;140,96
2013;augustus;172,9;140,88
2013;juli;173,01;140,97
2013;juni;172,83;140,82
2013;mei;172,53;140,58
2013;april;172,28;140,38
2013;maart;172,35;140,43
2013;februari;172,11;140,24
2013;januari;171,56;139,79
2012;december;171,6;139,82
2012;november;171,59;139,81
2012;oktober;171,78;139,97
2012;september;171,47;139,72
2012;augustus;171,18;139,48
2012;juli;170,43;138,87
2012;juni;170,12;138,62
2012;mei;170,52;138,94
2012;april;170,57;138,98
2012;maart;170,46;138,89
2012;februari;170,09;138,59
2012;januari;169,09;137,78
2011;december;167,86;136,78
2011;november;167,79;136,72
2011;oktober;167,13;136,18
2011;september;166,88;135,97
2011;augustus;166,42;135,61
2011;juli;166,57;135,72
2011;juni;166,37;135,56
2011;mei;165,86;135,15
2011;april;165,31;134,7
2011;maart;164,9;134,36
2011;februari;164,08;133,7
2011;januari;163,14;132,93
2010;december;162,21;132,17
2010;november;161,57;131,65
2010;oktober;161,38;131,49
2010;september;161,15;131,31
2010;augustus;160,64;130,89
2010;juli;160,54;130,81
2010;juni;160,47;130,76
2010;mei;160,49;130,77
2010;april;159,85;130,25
2010;maart;159,3;129,8
2010;februari;158,71;129,32
2010;januari;158,05;128,78
2009;december;157,33;128,19
2009;november;157,07;127,99
2009;oktober;156,66;127,65
2009;september;156,59;127,6
2009;augustus;157;127,93
2009;juli;156,52;127,54
2009;juni;156,62;127,62
2009;mei;156,92;127,86
2009;april;157,03;127,95
2009;maart;156,71;127,69
2009;februari;157,61;128,42
2009;januari;157,07;127,99
2008;december;156,92;127,86
2008;november;157,26;128,14
2008;oktober;158,2;128,91
2008;september;158,48;129,14
2008;augustus;158,23;128,93
2008;juli;159,2;129,72
2008;juni;158,37;129,04
2008;mei;157,5;128,33
2008;april;156,1;127,19
2008;maart;155,75;126,91
2008;februari;154,62;125,99
2008;januari;153,52;125,09
2007;december;152,9;124,58
2007;november;152,48;124,24
2007;oktober;151,06;123,09
2007;september;150,27;122,45
2007;augustus;150,13;122,33
2007;juli;150,32;122,48
2007;juni;149,68;121,96
2007;mei;149,7;121,98
2007;april;149,88;122,12
2007;maart;149,2;121,57
2007;februari;149,19;121,56
2007;januari;148,38;120,91
2006;december;148,31;120,85
2006;november;148,12;120,69
2006;oktober;147,75;120,39
2006;september;148,05;120,63
2006;augustus;148,47;120,99
2006;juli;148,29;120,83
2006;juni;147,78;120,41
2006;mei;147,81;120,44
2006;april;147,26;119,99
2006;maart;146,54;119,4
2006;februari;146,59;119,45
2006;januari;145,96;118,93
2005;december;145,93;118,9
2005;november;145,95;118,92
2005;oktober;145,99;118,95
2005;september;146,26;119,17
2005;augustus;146,09;119,03
2005;juli;145,95;118,92
2005;juni;145,08;118,21
2005;mei;144,64;117,85
2005;april;144,43;117,68
2005;maart;144,1;117,41
2005;februari;143,18;116,66
2005;januari;142,22;115,88
2004;december;141,83;115,56
2004;november;142,29;115,94
2004;oktober;142,46;116,08
2004;september;141,78;115,52
2004;augustus;141,68;115,44
2004;juli;141,51;115,3
2004;juni;141,03;114,91
2004;mei;141,09;114,96
2004;april;140,55;114,52
2004;maart;133,8;113,91
2004;februari;139,58;113,74
2004;januari;139,08;113,32
2003;december;138,67;112,99
2003;november;138,76;113,06
2003;oktober;138,5;112,85
2003;september;138,95;113,22
2003;augustus;138,55;112,89
2003;juli;138,18;112,59
2003;juni;137,91;112,37
2003;mei;137,51;112,04
2003;april;137,9;112,36
2003;maart;138,24;112,64
2003;februari;137,85;112,32
2003;januari;136,91;111,55
2002;december;136,3;111,06
2002;november;136,23;111
2002;oktober;136,34;111,09
2002;september;136,5;111,22
2002;augustus;136,12;110,91
2002;juli;136,16;110,94
2002;juni;135,71;110,58
2002;mei;136,1;110,89
2002;april;135,89;110,72
2002;maart;135,85;110,69
2002;februari;135,49;110,4
2002;januari;135,27;110,22
2001;december;134,46;109,56
2001;november;134,75;109,79
2001;oktober;134,6;109,67
2001;september;134,81;109,84
2001;augustus;134,43;109,53
2001;juli;134,44;109,54
2001;juni;134,54;109,62
2001;mei;134,3;109,43
2001;april;133,47;108,75
2001;maart;132,32;107,81
2001;februari;132,02;107,57
2001;januari;131,46;107,11
2000;december;131,59;107,22
2000;november;131,93;107,5
2000;oktober;131,51;107,15
2000;september;131,82;107,41
2000;augustus;130,93;106,68
2000;juli;130,97;106,71
2000;juni;130,71;106,5
2000;mei;130,22;106,1
2000;april;129,85;105,8
2000;maart;129,6;105,6
2000;februari;129,11;105,2
2000;januari;128,62;104,8
1999;december;128,39;104,61
1999;november;127,97;104,27
1999;oktober;127,71;104,06
1999;september;127,54;103,92
1999;augustus;127,26;103,69
1999;juli;127,41;103,81
1999;juni;127,21;103,65
1999;mei;127,47;103,86
1999;april;127,25;103,68
1999;maart;126,74;103,27
1999;februari;126,65;103,19
1999;januari;126,36;102,96
